ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
1678,Pilsen Industrial Corridor,IGA - CPD - Park 0531 - Palmisano,2850 S Halsted St,Chicago Park District,1070,An intergovernmental agreement between the City of Chicago and the Chicago Park District,3/6/12,1000000,1000000,1171394.845,1885773.008,41.84202685,-87.64652476,"(41.84202685411012, -87.6465247548277)",43,58,14920,59,48,26
10636,Near South <Central Station,IGA - CPD - Park 0561 - 1611 - 1629 S. Wabash,1629 S Wabash Av,Chicago Park District,,Intergovernmental Agreement between the City of Chicago and the Chicago Park District,12/14/11,3515404,3985000,1177071.932,1892148.609,41.85939549,-87.6254989,"(41.85939548520961, -87.62549889718997)",40,34,21194,374,9,48
10380,Western/Rock Island,IGA - Morgan Park Sports Center,11521 S Western Av,Chicago Park District,,An intergovernmental agreement between the City of Chicago and Chicago Park District.,8/5/14,10000000,18236206,1162502.979,1828068.232,41.68386717,-87.68076167,"(41.683867173015074, -87.68076166753042)",13,74,22212,378,42,33
12320,Kinzie Industrial Corridor,The Hatchery,3100 W Lake St,IFF,,"Located in the East Garfield Park Community, The Hatchery is an approximately 67,000 square foot food entrepreneur incubator/office space. The Project includes food grade flexible space and business support services. It is the planned new headquarters for Accion. Project includes new construction and the renovation of a building currently on site. The Project will be located on a 3.6 acre site on 3100 block of West Lake Street.",8/8/17,7172228,32375500,1155657.649,1901066.851,41.88432563,-87.70386415,"(41.88432562642416, -87.70386415169119)",28,28,21184,50,46,41
1527,Central Loop,Lytton Bldg - Chicago Info Tech Exchange,14 E Jackson Bv,"State CITE, L.L.C.",671,"Located in the Loop, the project consists of rehabilitation of a building for use by information technology companies.  The project renovated 121,000 square feet of office space, 25,000 square feet of retail space, exterior facades, and installation of IT improvements.",2/9/99,8000000,36521000,1176557.492,1899045.615,41.87833292,-87.62717897,"(41.87833292148672, -87.62717896918168)",29,38,14912,367,36,22
1428,Read/Dunning,Read-Dunning JV LP,6830 W Irving Park Rd,Chicago-Read J.V.L.P.,298,"Located in the Dunning community, the project included environmental remediation of the 73.8 acre site.",1/21/92,6456352,10077985,1130025.68,1925865.205,41.95285282,-87.79742038,"(41.952852815760615, -87.79742037705411)",52,17,22254,442,19,25
1544,Hollywood/Sheridan,Hollywood House Apts,5700 N Sheridan Rd,"Heartland Housing, Inc",725,"The Hollywood House Apartment project is located in the Hollywood/Sheridan TIF district. The housing project consists of the rehabilitation of an existing building, containing 197 rental units and 3200 Square feet of ground floor commercial. 177 units will be affordable.",7/8/08,9900000,36942434,1168565.916,1938087.01,41.9856411,-87.65538854,"(41.985641095428505, -87.65538854412696)",14,76,4451,14,16,40
13182,24th/Michigan,Ickes (Southbridge) - Phase 1 - 9%,2346 S State St,Community Builders Inc.,,"Redevelopment of the former CHA Harold Ickes Homes.  The Community Builders, Inc. (TCB) and McCaffery Interests, Inc. (MI) were selected by the CHA to redevelop the site, which is part of CHA's Plan for Transformation/Plan Forward. 

Phase 1 (Block B) of the development is broken into two adjacent, nearly-identical mid-rise buildings -- one utilizing 4% credits, the other 9% credits.  The 9% building will include a total of 39 low income units at or below 60% AMI, 4 moderate at 80% AMI and 60 market rate units for a total of 103 units. A total of 19,000 sf of retail space, split nearly evenly between the two buildings, will be available at street level.",7/10/18,4250000,43335840,1176648.647,1888600.967,41.84967008,-87.62715973,"(41.849670074527246, -87.62715972718439)",40,34,21194,193,9,12
1251,Chicago/Kingsbury,Eport - 600 W Chicago,610 W Chicago Av,Eport 600 Property Owner L.L.C.,36,"Located in the Near North community, the project includes the construction and rehabilitation of several mixed-use facilities.  The project  includes a total of 1.7 million square feet of space, parking and street and streetscape improvements.",8/14/01,33243085,286675924,1172083.14,1905658.221,41.89657818,-87.64341245,"(41.896578176013826, -87.64341244537296)",54,37,14926,108,46,41
12188,Red and Purple Modernization Phase One Project,Red and Purple Modernization Phase One Project Redevelopment and Intergovernmental Agreement,1052 W Buena Av,Chicago Transit Authority,,"The project will utilize certain incremental property tax revenues from the area to finance the development, expansion or rehabilitation of new or existing transit passenger stations; transit maintenance, storage or service facilities, and rights of way for use in providing transit.",11/16/16,622000000,2131000000,1168287.942,1928205.184,41.9585311,-87.65669797,"(41.95853110222961, -87.65669796581884)",53,31,21186,241,39,37
1501,Chicago/Central Park,Breakthrough Urban Ministries,402 N Saint Louis Av,Breakthrough Urban Ministries,618,"Breakthrough Urban Ministries is a non-profit organization that assists people struggling with drug addiction.  The project includes the rehabilitation of a 24,000 square foot warehouse to have a thirty bed shelter for men, five Single Room Occupancy units, developer's offices, social services facilities, communal kitchen, a food pantry and employment training space.",4/10/07,1153961,4999829,1152937.526,1902548.883,41.88844679,-87.71381354,"(41.88844678963916, -87.71381354158703)",30,24,21572,584,46,41
1665,Pershing/King,P G Stewart - Bronzeville Family Apts - I,400 E 41st St,Paul G. Stewart Apartments Associates,1052,"Bronzeville Family Apartments IV - Project includes 66 residential units in four three story walk up buildings. Rents will be restricted at 60% AMI and it will operate under a HUD Section 8 Contract that covers all units. Two, three, and four bedroom units.",10/12/10,2500000,27336391,1179638.248,1877940.683,41.8203495,-87.61651411,"(41.82034950030901, -87.61651410947175)",36,4,4301,625,9,12
1523,Near North,River Village - Site I,846 N Kingsbury St,River Village Townhomes,663,"Located in the Near North community, the project includes construction of 119 residential units which include 92 townhomes and 27 multi-level units.  The project consists of 91 market rate for-sale units, 10 affordable for-sale units, and 18 CHA units.",6/8/04,3554915,6513142,1172079.185,1906116.059,41.8978346,-87.64341345,"(41.89783459627425, -87.64341344905836)",54,37,14926,108,46,41
1290,Chicago/Kingsbury,River Village - Site H2,850 N Kingsbury St,River Village Townhomes,84,"Located in the Near North community, the project constructs 102 residential units; 29 town homes, 64 loft conversions, 9 multi-level units, parking, and other related improvements. 18 of the units are affordable at 120% area median income and 25 units are sold to CHA.",6/8/04,1473353,4524377,1172058.31,1906146.099,41.89791749,-87.64348923,"(41.89791748692854, -87.643489232502)",54,37,14926,108,46,41
1641,Central West,IGA - CBE - Skinner - ES - II,1219 W Monroe St,Chicago Public Schools,1023,"This project constructs a new L-shaped elementary school to serve 742 students. This 101,000 sq. ft. three story building includes science, computer, music, and art classrooms, in addition to a library, gymnasium, administrative center, student services and dining facilities. The site also includes a parking lot with 28 spaces. A historic water tower will be reused to store roof runoff water for irrigation of the landscape. The building is targeted to achieve LEED for Schools minimum Silver level certification, including a 25% green roof.",5/12/10,6120000,39315847,1168186.53,1899661.162,41.88020691,-87.6578973,"(41.88020691156407, -87.65789729936961)",44,29,14917,91,46,41
1305,River West,Blommer Chocolate,600 W Kinzie St,Blommer Chocolate Co.,108,"The project includes expanding the existing 1.3 acre site of the chocolate factory into a 5.5 acre industrial campus.  Blommer Chocolate will also purchase and install approximately $31 million of new equipment and create an industrial campus to accommodate increased productivity and alleviate traffic congestion on public ways. The plans for the campus include a truck staging area, a new truck scale, a new brick fence and landscaping, and construction of a 15,725 square foot shelter to house bean dumping and cleaning functions.",10/12/04,8000000,38609580,1172231.086,1902955.411,41.88915824,-87.64294895,"(41.8891582370628, -87.64294894501067)",55,25,4446,109,36,22
1318,Lakefront,Lake Park Crescent - Phase I - Rental,4100 S Lake Park Av,"Lake Park Crescent, L.P.",123,"New construction of 148 units of mixed-income rental housing in the first phase and 143 units of mixed income for-sale housing in the phases two and three.  The rental phase will consist of twelve 6-flats and one 8-story mid-rise building, with 60 public housing units, 52 affordable units and 36 market-rate units.",7/9/02,552000,38180097,1183868.65,1877855.081,41.82001671,-87.60099796,"(41.82001670777046, -87.60099795813032)",36,2,4301,220,10,1
1715,Northwest Industrial Corridor,IGA - CBE - Lloyd ES - Athletic Field,2103 N Lamon Av,Chicago Public Schools,1149,"Installation of artificial turf at Lloyd Elementary School. This project will install approximately 23,350 square feet of artificial turf to replace existing natural grass at an elementary school. The project includes an underground storm water detention system.",6/11/11,750000,750000,1143423.139,1913554.359,41.91883022,-87.74847861,"(41.91883022004693, -87.74847860787013)",2,19,22615,306,44,7
1709,Hollywood/Sheridan,IGA - CHA - Judge Fisher Apts,5821 N Broadway,Chicago Housing Authority,1142,An intergovernmental agreement between the City of Chicago and the Chicago Housing Authority,9/8/11,296946,2016540,1167293.969,1938811.129,41.98765563,-87.66004573,"(41.98765562647958, -87.66004572780321)",14,76,4451,13,16,40
11923,53rd Street,Hyatt Place Chicago At Hyde Park TIF,5223 S Harper Av,Smart Hotels/Olympia Chicago,,"Located in the Hyde Park community, the project will construct an 84,000 square feet, six story hotel with 131 rooms and will also include 50 underground parking spaces. The amenities include a small work out facility, swimming pool, conference rooms, and meeting facilities for business travelers and community groups.",3/13/12,2901146,28500090,1187223.289,1870676.406,41.80023882,-87.58891999,"(41.800238822724396, -87.58891998870733)",10,8,21192,500,10,1
1351,69th/Ashland,Glazier - Finch - 69th Ashland,6920 S Ashland Av,Finch Limited Partnership,184,"Located in West Englewood, the project includes construction of 32,000 square feet of retail and professional services shopping center.  The project will also include 112 parking spaces.",9/14/04,948000,6748179,1166838.282,1858721.542,41.76789332,-87.66401897,"(41.76789331709745, -87.6640189682719)",23,65,22257,283,31,17
1241,Roosevelt/Canal,UPS - 14th Union,1500 S Jefferson St,"United Parcel Service, Inc.",16,"UPS has proposed the assemblage, remediation and redevelopment of three privately owned parcels, one parcel beneath an elevated portion of the Dan Ryan Expressway that is controlled by the State of Illinois and two street vacations. The project will also include the reconfiguration and renovation of existing UPS structures and parking improvements that are located east of the Dan Ryan Expressway.  The remediation and redevelopment of several lots totaling 770,000 square feet and include feeder lots with a total of 758 parking spaces.  The project will also include relocation of utilities, installing gateways, and signage.",7/13/04,6933800,24151801,1172528.867,1892979.164,41.86177616,-87.64215041,"(41.86177615768558, -87.6421504112507)",44,29,14917,97,48,48
1577,Archer/Central,Shop and Save,5829 S Archer Av,"Archer Advisors, LLC and 5829 Archer Development, LLC",803,"The Shop and Save project is located on a 5.75 acre site in the Archer/Central TIF district. The project consists of renovating of the former Dominick's grocery store with new roof, HVAC, windows and flooring. In addition, 300 parking spaces and a 33,000 square foot loading area will be repaired.",11/18/08,3000000,15026000,1140672.648,1868781.976,41.79601962,-87.75968337,"(41.79601962445319, -87.7596833671853)",7,53,22268,607,6,35
1761,Near South <Central Station,IGA - CPD - Park 0507 - Coliseum,1466 S Wabash Av,Chicago Park District,2114,The project is an intergovernmental agreement with the Chicago Park District to construct a new playground and expansion of the dog friendly area.,12/23/13,500000,500000,1176966.245,1893156.904,41.8621647,-87.62585634,"(41.86216470122595, -87.62585633904838)",35,34,14913,374,9,12
1250,Clark/Ridge,Raven Theatre,6157 N Clark St,Raven Theater Company,35,"Located in the Edgewater community, project rehabilitated a former grocery store to use as a 10,000 square foot theater complex.  The complex includes two theaters, lobby, offices, and storage space.",1/22/02,550000,1980000,1164568.868,1941222.351,41.99433044,-87.67000008,"(41.99433043833787, -87.67000007450335)",14,76,4451,536,16,46
1433,Stockyards SEQ,Marina Cartage,4450 S Morgan St,Marina Cartage,304,"Located in the New City community area, the project includes construction of 32,000 square foot building for use as a truck maintenance, warehouse, dispatch and service facility.",12/12/95,1135972,4543888,1170351.223,1875094.712,41.81274742,-87.65066589,"(41.81274742437032, -87.65066589354052)",37,59,14924,123,48,26
1751,Lawrence/Kedzie,IGA - PBC - Albany Park Library,5150 N Kimball Av,Public Building Commission,2084,An intergovernmental agreement between the City of Chicago and the Public Building Commission,11/2/11,15000000,15345000,1152738.716,1934228.175,41.97538125,-87.71370286,"(41.975381250634605, -87.71370286008175)",20,13,21849,167,38,28
1288,Roosevelt/Union,UIC,2035 W Taylor St,Office of University Counsel,81,"Located in the Near West Side community area, the project includes the land acquisition, demolition, environmental remediation, and infrastructure improvements.  The project also consists of student housing for 750 residents, new retail space,parking garages,
and private for-sale housing.",12/1/98,107957123,680847764,1162931.574,1895530.248,41.86898319,-87.6773088,"(41.86898318771279, -87.67730879546438)",28,29,21184,5,46,48
12304,Roosevelt/Racine,Taylor Street Library and Apartments,1340 W Taylor St,Taylor Street LA LLC,,"Located in the Near West Side, the project includes construction of a mixed-use building that will contain 73 residential units. Of the units, 51% (37) will be for CHA residents, 40% (29) will be affordable to households earning 60% of the area median income (AMI) and below, and 9% (7) will be unrestricted market rate units.  In addition to the housing, there will be an approximately 15,000 square foot library, an outdoor terrace, community room, bicycle racks and off-street parking.",8/8/17,7000000,0,1167405.174,1895739.006,41.86946104,-87.66087917,"(41.86946104442785, -87.66087916803869)",44,29,14917,759,23,8
10496,Goose Island,UI Labs,1333 N Hickory Av,UI LABS,,"UI LABS is proposing to lease and build-out 94,000 square feet of the former, Republic Windows and Doors facility (350,000 s.f.) at 1333 North Hickory Ave. to house the DMDII, as well as be the headquarters of UI LABS.  The DMDII will be the nation's flagship research institute in digital manufacturing and design innovation with capabilities, innovation and collaboration necessary to transform American manufacturing. The hub will apply cutting edge mobile, cloud and high-performance computing technologies to manufacturing challenges.",6/10/14,10000000,16500000,1168900.365,1909333.452,41.90673288,-87.65499541,"(41.90673287736853, -87.65499540850405)",49,37,22620,108,46,16
11588,Madison/Austin Corridor,IGA-CBE-Spencer,214 N Lavergne Av,Chicago Public Schools,,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with the planning, design, and construction of a new age 3-5 and a new age 5-12 play lots at Spencer Elementary School. Improvements also include a 4,400 s.f. basketball court, security lighting, and ADA improvements.",6/25/14,700000,700000,1142962.029,1901180.137,41.88488257,-87.75048169,"(41.88488257290063, -87.75048168878546)",32,26,22216,696,23,11
13398,Lawrence/Broadway,Uptown Theatre,4816 N Broadway,Farpoint Development,,"The Developer has proposed a rehabilitation and upgrade of the historic Uptown Theatre.  When completed, the space will be one of Chicago's premier live-event venues with a capacity of approximately 4,000 as reserved seating and 5,800 as general admission.  The building has suffered significant deterioration while sitting vacant since the early 1980s.  Planned improvements include increasing capacity, interior improvements, building systems, the demolition and rebuilding of back-of-house functions, and extensive façade restoration.",11/13/18,13000000,78800000,1167404.358,1932203.451,41.96952159,-87.6598308,"(41.96952158925481, -87.65983080025634)",15,31,22616,633,39,40
1361,Madden/Wells,Madden Wells - 1-A - Rental,3807 S Cottage Grove Av,Madden Wells Phase 1A Associates L.P.,197,"""Project"" shall mean the 21 buildings to be located on multiple sites generally located north of East Pershing Road, west of the alley immediately east of existing South Ellis Ave., south of a new, to-be-constructed East 38th street and east of a new, to-be-constructed South Langley Ave., Chgo., IL, which shall contain, as of the completion of construction 162 multi-family residential dwelling units and one manager's unit.
115 units financed with HOME Funds",12/10/02,1529200,36080770,1182013.037,1879986.687,41.82590919,-87.60773903,"(41.82590918687433, -87.60773902504421)",36,2,4301,221,10,1
13246,Clark/Ridge,Senn High School IGA CPS Various Imprv,5900 N Glenwood Av,Chicago Public Schools,,"This is an intergovernmental agreement between DPD and CPS to use TIF financing to fund rehab improvements to Senn High School in the Edgewater neighborhood. 

The project was completed in December of 2018. It included the following:
--new ADA modifications and a new west entry that provides access to the Park District programs located at the school
--accessible ramps added to the exterior. 
--renovations to  boys and girls lockers rooms
--addition of a fitness room
--structural repairs to pluming, electric and floors 
-- upgrades to some classroom space


The $3,000,000 project was paid for entirely with TIF funding",6/27/18,3000000,3000000,1165871.81,1939308.369,41.98905063,-87.66526222,"(41.989050628507, -87.66526222088731)",14,76,4451,539,16,40
1331,Central West,Horner - IIA1 - Lowrise,2257 W Lake St,"WHP Homes, LLC",147,"The project includes the construction of seven three-story buildings.  The building has 60 residential for-sale units of which twelve are affordable units. Mix of one, two, and three bedroom units.",6/12/07,2501821,17295471,1161093.21,1901210.417,41.88460844,-87.68390009,"(41.884608439864856, -87.68390008982898)",28,29,21184,37,46,48
1679,63rd/Ashland,IGA - CPD - Park 1008 - Hermitage,5839 S Wood St,Chicago Park District,1071,An intergovernmental agreement between the City of Chicago and the Chicago Park District for development costs for construction of a new playground with a water spray feature to replace the outdated and non-ADA accessible play equipment.,4/13/11,400000,600000,1165393.123,1865775.131,41.78728002,-87.66911645,"(41.78728002270479, -87.66911644773613)",23,65,22257,385,3,44
1484,Northwest Industrial Corridor,IGA - CPD - Park 0132 - Greenbaum,4300 W Wabansia Av,Chicago Park District,595,Intergovernmental Agreement between the City of Chicago and the Chicago Park District,6/30/10,1987000,2525793,1147443.368,1910990.926,41.91171972,-87.73377357,"(41.91171972391584, -87.73377357227282)",2,24,22615,285,44,7
10739,35th/Halsted,IGA - PBC - Ramova Theater,3518 S Halsted St,Public Building Commission,,An Intergovernmental agreement between the City of Chicago and the Public Building Commission,5/9/12,300038,300038,1171507.192,1881440.254,41.83013493,-87.64623966,"(41.83013492477298, -87.6462396618267)",37,58,14924,172,48,26
1591,Diversey/Narragansett,IGA - CPD - Park 0123 - Riis,6100 W Fullerton Av,Chicago Park District,840,The project includes costs associated with the construction of an artificial turf soccer/football field.,6/9/10,1000000,1115671,1135319.242,1915347.178,41.92389772,-87.77821098,"(41.92389772168645, -87.77821097882003)",2,19,22615,78,21,52
12295,Western Avenue North,IGA-CBE-Chappell ADA Phase III,2135 W Foster Av,Chicago Public Schools,,"Chappell Elementary School is located in the Lincoln Square Community Area.  Rehabilitation to the school includes a new elevator and lift; replacement of all classroom doors; upgrade bathrooms and the creation of unisex toilets; creation of ADA student stations in classrooms; system upgrades to plumbing, the fire alarm system and security system and improve the lighting in science classrooms.",6/28/17,760137,760137,1161016.902,1934466.545,41.975867,-87.68325438,"(41.97586700298142, -87.68325437820378)",20,6,21849,106,24,13
11069,Clark/Ridge,IGA - CBE - Pierce Elementary,1423 W Bryn Mawr Av,Chicago Public Schools,,Pierce Elementary School Fieldhouse and Air Conditioners - IGA pending,10/3/13,350000,350000,1165723.804,1937258.243,41.98342819,-87.66586537,"(41.98342818917878, -87.66586537292214)",15,76,4451,540,16,40
11585,Western Avenue North,IGA - CBE - Amundsen HS I - TECH,5510 N Damen Av,Chicago Public Schools,,"Intergovernmental Agreement with the Board of Education to provide Tax Increment Financing (TIF) funds to reimburse the costs associated with the planning, design, and construction of two new computer rooms, upgraded wireless access, updated lunchroom and modernized auditorium.",4/30/15,500000,552482,1161974.39,1936713.996,41.98201411,-87.67967027,"(41.98201410585788, -87.67967026618581)",20,6,21849,664,24,46
1358,Humboldt Park Commercial,La Estancia,3228 W Division St,La Estancia L.P.,194,"Located in the West Town community, the project includes construction of 57 affordable rental units  at 60% area median income in three buildings, 12,000 square feet of affordable commercial space, and 62 parking spaces.",12/14/04,1555485,16971908,1154507.422,1907838.48,41.9029307,-87.70790669,"(41.902930695819755, -87.70790668821277)",5,24,4299,455,49,10
1749,Archer/Central,IGA - CPD - Park 0307 - Minuteman,5940 S Central Av,Chicago Park District,2082,An intergovernmental agreement between the City of Chicago and the Chicago Park District.,7/28/11,340000,552500,1140037.603,1864449.123,41.78414113,-87.76211773,"(41.78414113430267, -87.76211773051463)",7,62,22268,265,15,23
1788,Near North,IGA - CPD - Park ____ - W Chicago Ave Fieldhouse,410 W Chicago Av,Chicago Park District,2156,WEST CHICAGO AVENUE FIELDHOUSE,11/17/10,5000000,15000000,1173239.771,1905688.253,41.89663498,-87.63916349,"(41.89663498436125, -87.63916348748795)",54,37,14926,652,46,41
12880,Bronzeville,Dunbar Park Turf Field,200 E 31st St,Chicago Park District,,"The existing track and natural lawn athletic field on the north side of Dunbar Park is planned to be renovated.  The renovation consists of a combination artificial turf field striped for football and soccer, a six lane track, and sports lighting.",9/20/18,1400000,2175105,1178125.527,1884533.537,41.8384753,-87.62186311,"(41.83847530364789, -87.62186310541442)",40,1,21194,191,10,48
13293,Lawrence/Pulaski,Spikings Farm Park,4706 N Pulaski Rd,Chicago Park District,,"The Chicago Park District seeks reimbursement of funds it has expended for the
rehabilitation of certain facilities which are a part of Spikings Farm Park.",6/27/18,137500,137500,1148838.024,1931018.955,41.96665146,-87.72813054,"(41.96665145585646, -87.72813054431471)",48,14,21869,257,38,28
1311,43rd/Cottage Grove (DOH),Hearts Multi-Family 1,600 E Bowen Av,Hearts United L.P.,116,"Located in the Grand Boulevard community area, the project includes the construction of 16 residential structures containing 107 apartments of which 75 are affordable units at 60% area median income and 27 are leased by the Chicago Housing Authority.",5/12/98,4112216,15900000,1180959.466,1877651.282,41.81952501,-87.61167625,"(41.81952501395977, -87.61167625422605)",36,4,4301,583,10,1
501324,Central West,Union Park,1501 W Randolph St,Chicago Park District,,An intergovernmental agreement between the City of Chicago and the Chicago Park District,10/16/13,2050000,2050000,1166435.074,1901288.93,41.88471128,-87.66428183,"(41.88471127972956, -87.66428182609859)",44,29,14917,63,46,41
10960,Near South <Central Station,IGA - CBE - Jones - HS I,606 S State St,Chicago Public Schools,,"Construction and improvements to expand the existing William Jones Academic High School to accommodate approximately 800 students. The project included a full gut rehabilitation of the existing school facility, including technology upgrades and new science and computer laboratories. The project also included the acquisition of adjacent land and construction of an addition to the existing facility. The new construction area included additional classroom space, an auditorium, a library, space for an expanded arts program and new athletic facilities.",2/13/13,67000000,67179286,1176412.354,1897618.088,41.87441898,-87.62775497,"(41.874418979889214, -87.6277549673946)",35,38,14913,12,10,48
1383,Central Loop,201 N Wells,201 N Wells St,201 North Wells Investors L.L.C,235,"Located in the Loop, the project includes rehabilitation and renovation of a previous office building as a 293 rental apartments with 20% affordable units, and renovate the exterior and lobby.  The project will also include 5,600 square feet of retail space and 8,200 square feet of office/commercial space.",4/13/99,7000000,40602000,1174736.659,1901736.844,41.88575873,-87.63378405,"(41.885758730147366, -87.63378404961261)",42,38,14309,92,36,22
